"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1FLLV0015","INGLIS 0.6 N, FL US","29.04094","-82.65981","10.4","2024",,,,,,,,,,,,,"9.50"," ,N,0805, ",,,,,"56.98"," ,N",,,,,,,,
"US1FLCY0007","KEYSTONE HEIGHTS 3.5 ENE, FL US","29.798056","-81.978811","39.0","2024",,,,,,,,,,,,,"2.81"," ,N,0404, ",,,,,"53.75"," ,N",,,,,,,,
"US1FLLE0068","LEHIGH ACRES 3.8 SSW, FL US","26.550393","-81.650833","8.5","2024",,,,,,,,,,,,,"6.82"," ,N,0613, ",,,,,"69.27"," ,N",,,,,,,,
"USW00093837","JACKSONVILLE NAS, FL US","30.23333","-81.66667","6.1","2024","3797",,,,,,"33","W,0117, ",,,,,"3.99"," ,W,0905, ","102","W,0624,+","625","4","49.17"," ,W",,,"73.7","W","81.8","W","65.6","W"
"US1FLPK0039","BARTOW 7.8 SE, FL US","27.828452","-81.743273","57.9","2024",,,,,,,,,,,,,"4.82"," ,N,1010, ",,,,,"50.18"," ,N",,,,,,,,
"USW00012832","APALACHICOLA AIRPORT, FL US","29.72681","-85.02481","5.5","2024","3211",,,,,,"27","W,0117, ",,,,,"7.45"," ,W,0926, ","99","W,0814, ","1113","1","76.39"," ,W",,,"70.9","W","79.4","W","62.3","W"
"USC00088620","STUART, FL US","27.1897","-80.2397","4.0","2024","4407",,,,,,"47","7,0121, ",,,,,"5.81"," ,7,0613, ","97","7,0710,+","121","0","58.98"," ,7",,,"76.7","7","83.7","7","69.9","7"
"US1FLPK0032","LAKELAND 5.3 WNW, FL US","28.06498","-82.04227","34.1","2024",,,,,,,,,,,,,"11.89"," ,N,1010, ",,,,,"74.36"," ,N",,,,,,,,
"USC00085359","MARCO ISLAND, FL US","25.9491","-81.7138","3.0","2024","4254",,,,,,"45","7,0122,+",,,,,"5.89"," ,7,0612, ","97","7,0630, ","178","1","69.47"," ,7",,,"76.1","7","84.0","7","68.1","7"
"US1FLHB0069","RIVERVIEW 2.1 W, FL US","27.8658","-82.3507","13.1","2024",,,,,"         0","N",,,,,"0.0"," ,N,1231,+","8.85"," ,N,1010, ",,,,,"70.05"," ,N","0.0"," ,N",,,,,,
"US1FLAL0055","GAINESVILLE 7.7 W, FL US","29.657232","-82.463644","25.6","2024",,,,,,,,,,,,,"4.31"," ,N,0805, ",,,,,"49.79"," ,N",,,,,,,,
"USC00080211","APALACHICOLA AIRPORT, FL US","29.7258","-85.0205","6.1","2024",,,,,"         0","H",,,,,"0.0"," ,H,1231,+","7.45"," ,H,0926, ",,,,,"74.68"," ,H","0.0"," ,H",,,,,,
"US1FLSS0014","NORTH PORT 1.6 ENE, FL US","27.061","-82.172","10.1","2024",,,,,,,,,,,,,,,,,,,"81.81"," ,N",,,,,,,,
"US1FLSS0015","NORTH PORT 4.7 NNE, FL US","27.113171","-82.165734","17.1","2024",,,,,,,,,,,,,"4.24"," ,N,0805, ",,,,,"68.46"," ,N",,,,,,,,
"US1FLHB0181","RUSKIN 3.9 ENE, FL US","27.737448","-82.371593","14.6","2024",,,,,,,,,,,,,"10.15"," ,N,0805, ",,,,,"67.41"," ,N",,,,,,,,
"US1FLAL0051","MICANOPY 2.1 NNE, FL US","29.5348","-82.2681","20.7","2024",,,,,,,,,,,,,"5.15"," ,N,0805, ",,,,,"50.23"," ,N",,,,,,,,
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2024",,,,,,,,,,,,,"5.57"," ,N,0612, ",,,,,"84.84"," ,N",,,,,,,,
"US1FLHL0030","SEBRING 2.8 WNW, FL US","27.499490737915","-81.4979629516602","48.2","2024",,,,,,,,,,,,,"2.38"," ,N,0612, ",,,,,"47.63"," ,N",,,,,,,,
"US1FLJK0002","ALFORD 0.6 SSE, FL US","30.6871579","-85.3929456","41.5","2024",,,,,,,,,,,,,"10.20"," ,N,0927, ",,,,,"59.19"," ,N",,,,,,,,
"USR0000FCEN","CENTRAL FLORIDA, FL US","29.105","-81.63","18.6","2024","3483",,,,,,"31","U,1203, ",,,,,,,"102","U,0609,+","689","6",,,,,"72.5","U","84.6","U","60.3","U"
"USR0000FMIL","MILES CITY FLORIDA, FL US","26.2483","-81.2967","4.6","2024","4456",,,,,,"44","U,1204,+",,,,,,,"99","U,0606, ","113","9",,,,,"76.8","U","86.6","U","67.0","U"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2024","3190",,,,,,"34","7,0121, ",,,,,"6.03"," ,7,1003, ","97","7,0609,+",,,"58.98"," ,7",,,"71.9","7","81.4","7","62.3","7"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00087760","ROYAL PALM RANGER STATION, FL US","25.3866","-80.5936","2.1","2024",,,,,,,,,,,,,"6.55"," ,7,0612, ",,,,,"64.75"," ,7",,,,,,,,
"US1FLCH0047","HARBOUR HEIGHTS 3.0 NNW, FL US","27.030939","-82.031259","6.4","2024",,,,,,,,,,,,,"3.12"," ,N,0806, ",,,,,"68.43"," ,N",,,,,,,,
"USR0000FSUM","SUMATRA FLORIDA, FL US","30.0175","-84.9842","18.3","2024","3222",,,,,,"24","U,0117, ",,,,,,,"100","U,0812,+","1124","6",,,,,"70.8","U","82.6","U","59.0","U"
"US1FLLE0076","FORT MYERS 10.0 NE, FL US","26.71693","-81.7211","2.4","2024",,,,,,,,,,,,,"3.98"," ,N,0116, ",,,,,"58.16"," ,N",,,,,,,,
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","27.96331","-82.54","1.8","2024","4203",,"        0",,"         0","W","37","W,0121, ","0"," ,W,1231,+","0.0"," ,W,1231,+","11.43"," ,W,1009, ","98","W,0530, ","348","1","80.30"," ,W","0.0"," ,W","75.5","W","83.6","W","67.5","W"
"USC00083163","FORT LAUDERDALE, FL US","26.1019","-80.2011","4.9","2024","4656",,,,,,"49","7,0220, ",,,,,"8.25"," ,7,0613, ","99","7,0527, ","60","5","80.40"," ,7",,,"77.6","7","84.9","7","70.3","7"
"US1FLSM0052","CASSELBERRY 1.9 E, FL US","28.6663852","-81.2927706","18.9","2024",,,,,,,,,,,,,"3.86"," ,N,0905, ",,,,,"47.20"," ,N",,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","27.6553","-80.41425","5.7","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLBW0121","POMPANO BEACH 3.1 NE, FL US","26.27232","-80.10258","3.0","2024",,,,,,,,,,,,,"6.10"," ,N,0613, ",,,,,"72.57"," ,N",,,,,,,,
"US1FLAL0050","GAINESVILLE 2.4 SW, FL US","29.6478176116943","-82.36181640625","35.1","2024",,,,,,,,,,,,,"4.81"," ,N,0805, ",,,,,"49.24"," ,N",,,,,,,,
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","28.54653","-81.33544","31.7","2024","4067",,"        0",,"         0","D","37","W,0121, ","0"," ,D,1231,+","0.0"," ,D,1231,+","5.61"," ,W,1009, ","99","W,0606, ","370","6","55.51"," ,W","0.0"," ,D","75.0","W","84.1","W","65.9","W"
"USC00086315","NORTH MIAMI BEACH NUMBER 2, FL US","25.95","-80.2158","3.0","2024",,,,,,,,,,,,,"10.09"," ,7,0613, ",,,,,"59.72"," ,7",,,,,,,,
"USW00093841","WHITING FIELD NAS, FL US","30.71667","-87.01667","60.7","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00087887","ST PETERSBURG 2, FL US","27.80184","-82.73465","6.7","2024","3913",,"        0",,"         0","7","37","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","10.52"," ,7,1009, ","96","7,0530, ","458","4","73.46"," ,7","0.0"," ,7","74.4","7","82.8","7","65.9","7"
"USC00086319","NORTH PORT, FL US","27.0474","-82.237","3.7","2024","3995",,"        0",,"         0","7","38","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","4.50"," ,7,0612, ","100","7,0531, ","268","9","72.41"," ,7","0.0"," ,7","75.0","7","84.6","7","65.4","7"
"US1FLLK0003","GROVELAND 1.7 E, FL US","28.565","-81.824","34.1","2024",,,,,,,,,,,,,"10.14"," ,N,1010, ",,,,,"53.20"," ,N",,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","2024","4999",,,,,,"52","W,0121,+",,,,,"6.25"," ,W,0612, ","98","W,0815, ","28","7","69.59"," ,W",,,"78.5","W","85.1","W","72.0","W"
"US1FLSL0019","PORT ST. LUCIE 4.0 NE, FL US","27.323691","-80.311118","4.3","2024",,,,,,,,,,,,,"4.62"," ,N,0613, ",,,,,"67.77"," ,N",,,,,,,,
"USC00081544","CHIPLEY, FL US","30.7806","-85.5503","39.6","2024",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","6.40"," ,7,0927, ",,,,,"62.59"," ,7","0.0"," ,7",,,,,,
"US1FLIR0051","FELLSMERE 3.8 N, FL US","27.8208047","-80.5931392","10.4","2024",,,,,,,,,,,,,,,,,,,"52.95"," ,N",,,,,,,,
"US1FLBW0007","POMPANO BEACH HIGHLANDS 0.7 E, FL US","26.286","-80.103","4.9","2024",,,,,,,,,,,,,,,,,,,"62.50"," ,N",,,,,,,,
"US1FLIR0050","VERO BEACH SOUTH 2.4 WNW, FL US","27.630637","-80.449648","5.8","2024",,,,,,,,,,,,,"4.65"," ,N,0721, ",,,,,"68.38"," ,N",,,,,,,,
"US1FLSL0017","TRADITION 5.6 W, FL US","27.268118","-80.445381","7.0","2024",,,,,,,,,,,,,"5.17"," ,N,0613, ",,,,,"59.77"," ,N",,,,,,,,
"USW00012838","MELBOURNE INTERNATIONAL AIRPORT, FL US","28.09969","-80.6356","6.7","2024","3840",,,,,,"40","W,1203,+",,,,,"2.76"," ,W,1009, ","98","W,0527, ","341","5","40.47"," ,W",,,"74.4","W","82.5","W","66.4","W"
"US1FLPN0006","SOUTH PASADENA 1.0 NE, FL US","27.763511","-82.73149","3.7","2024",,,,,,,,,,,,,"11.82"," ,N,1010, ",,,,,"68.09"," ,N",,,,,,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","26.58495","-81.86146","3.8","2024","4453",,,,,,"43","W,0121, ",,,,,"4.54"," ,W,0613, ","98","W,0605, ","156","5","80.46"," ,W",,,"76.7","W","85.6","W","67.9","W"
"USC00081306","CAPE FLORIDA, FL US","25.6719","-80.1566","1.8","2024","4987",,,,,,"50","7,0221,+",,,,,"4.91"," ,7,0613, ","93","7,0929,+","47","0","60.79"," ,7",,,"78.5","7","84.2","7","72.8","7"
"USW00012836","KEY WEST INTERNATIONAL AIRPORT, FL US","24.55706","-81.75539","0.3","2024","5400",,,,,,"55","W,0102,+",,,,,"2.63"," ,W,0613, ","96","W,0815, ","7","9","49.15"," ,W",,,"79.7","W","84.1","W","75.3","W"
"USW00012833","CROSS CITY AIRPORT, FL US","29.63333","-83.10528","11.6","2024",,,,,,,,,,,,,,,,,"1113","1",,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","29.17351","-81.07185","7.9","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000FOLU","OLUSTEE FLORIDA, FL US","30.2","-82.4","45.7","2024","3160",,,,,,"26","U,1207,+",,,,,,,"100","U,0625, ","1030","1",,,,,"70.8","U","82.6","U","58.9","U"
"US1FLLE0072","FORT MYERS 1.7 WNW, FL US","26.637205","-81.877153","2.7","2024",,,,,,,,,,,,,"6.63"," ,N,0116, ",,,,,"74.70"," ,N",,,,,,,,
"US1FLAL0048","GAINESVILLE 5.4 W, FL US","29.67778","-82.426389","49.7","2024",,,,,,,,,,,,,"5.73"," ,N,0805, ",,,,,"48.85"," ,N",,,,,,,,
"US1FLSL0013","PORT ST. LUCIE 2.4 SSW, FL US","27.249422","-80.371835","11.0","2024",,,,,,,,,,,,,"4.34"," ,N,0920, ",,,,,"65.65"," ,N",,,,,,,,
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2024","4229",,"        0",,"         0","7","38","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","5.47"," ,7,0822, ","98","7,0530, ","292","4","66.57"," ,7","0.0"," ,7","75.6","7","84.6","7","66.7","7"
"US1FLHL0003","LAKE PLACID 1.1 WSW, FL US","27.2877","-81.3853","32.9","2024",,,,,,,,,,,,,"3.49"," ,N,0629, ",,,,,"56.62"," ,N",,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","28.77951","-81.24356","14.9","2024","3868",,"        0",,"         0","D","38","W,0121, ","0"," ,D,1231,+","0.0"," ,D,1231,+","6.77"," ,W,1009, ","101","W,0606, ","426","5","53.45"," ,W","0.0"," ,D","74.3","W","83.7","W","64.8","W"
"USC00085377","MARIANNA 7 NE, FL US","30.7341","-85.0305","35.1","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLHB0044","RUSKIN 1.8 ESE, FL US","27.705656","-82.400519","17.1","2024",,,,,"         0","N",,,,,"0.0"," ,N,1231,+","10.87"," ,N,1010, ",,,,,"61.70"," ,N","0.0"," ,N",,,,,,
"USC00080236","ARCHBOLD BIO STATION, FL US","27.18181","-81.35098","41.5","2024","3736",,"        0",,"         0","7","25","7,1203, ","0"," ,7,1231,+","0.0"," ,7,1231,+","2.81"," ,7,0902, ","100","7,0527, ","436","5","48.44"," ,7","0.0"," ,7","73.8","7","86.1","7","61.6","7"
"USC00080478","BARTOW 1 SE, FL US","27.88634","-81.83255","34.1","2024","3856",,"        0",,"         0","7","37","7,1204,+","0"," ,7,1231,+","0.0"," ,7,1231,+","5.85"," ,7,1010, ","100","7,0607, ","433","4","53.82"," ,7","0.0"," ,7","74.2","7","84.9","7","63.6","7"
"USW00012850","KEY WEST NAS, FL US","24.58333","-81.68333","1.8","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00084289","INVERNESS 3 SE, FL US","28.80286","-82.31266","17.7","2024","3545",,"        0",,"         0","7","29","7,1203, ","0"," ,7,1231,+","0.0"," ,7,1231,+","6.92"," ,7,1010, ","100","7,0609, ",,,"60.05"," ,7","0.0"," ,7","72.5","7","84.3","7","60.6","7"
"US1FLHB0048","GREATER NORTHDALE 0.4 ENE, FL US","28.107081","-82.513162","25.9","2024",,,,,,,,,,,,,"10.75"," ,N,1010, ",,,,,"71.14"," ,N",,,,,,,,
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2024","3159",,"        0",,"         0","7","33","7,1213,+","0"," ,7,1231,+","0.0"," ,7,1231,+","8.40"," ,7,1010, ","98","7,0610, ","829","6","67.14"," ,7","0.0"," ,7","71.2","7","81.4","7","61.1","7"
"US1FLHB0168","CARROLLWOOD VILLAGE 2.3 W, FL US","28.070012","-82.558739","11.6","2024",,,,,,,,,,,,,"11.75"," ,N,1010, ",,,,,"68.69"," ,N",,,,,,,,
"US1FLPN0035","GULFPORT 0.9 NNW, FL US","27.758823","-82.71644","5.8","2024",,,,,,,,,,,,,"7.65"," ,N,0805, ",,,,,"65.63"," ,N",,,,,,,,
"US1FLPN0034","ST. PETERSBURG 3.2 NNW, FL US","27.803252","-82.65457","15.2","2024",,,,,,,,,,,,,"10.05"," ,N,1010, ",,,,,"75.85"," ,N",,,,,,,,
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000FCHE","CHEKIKA FLORIDA, FL US","25.625","-80.5797","1.5","2024","4875",,,,,,"52","U,0130, ",,,,,,,"97","U,0526,+","36","1",,,,,"78.2","U","85.1","U","71.3","U"
"US1FLAL0031","GAINESVILLE 6.5 NW, FL US","29.737964","-82.416213","55.2","2024",,,,,,,,,,,,,"5.12"," ,N,0805, ",,,,,"57.63"," ,N",,,,,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6851","-80.09918","3.5","2024","4718",,,,,,"48","W,1123,+",,,,,"4.81"," ,W,0430, ","99","W,0528, ","94","2","63.29"," ,W",,,"77.6","W","84.7","W","70.5","W"
"US1FLHL0012","SYLVAN SHORES 8.5 NE, FL US","27.405027","-81.246061","25.9","2024",,,,,,,,,,,,,"3.52"," ,N,0730, ",,,,,"48.85"," ,N",,,,,,,,
"US1FLLK0030","LEESBURG 2.7 NW, FL US","28.836163","-81.913656","23.2","2024",,,,,,,,,,,,,"6.19"," ,N,1009, ",,,,,"64.07"," ,N",,,,,,,,
"US1FLSW0014","SUWANNEE SPRINGS 0.9 S, FL US","30.379973","-82.936585","29.9","2024",,,,,,,,,,,,,"6.11"," ,N,0806, ",,,,,"54.16"," ,N",,,,,,,,
"US1FLIR0027","VERO BEACH 2.5 S, FL US","27.610172","-80.39295","6.4","2024",,,,,,,,,,,,,"7.06"," ,N,1010, ",,,,,"63.01"," ,N",,,,,,,,
"US1FLIR0026","VERO BEACH 3.5 SSW, FL US","27.59959","-80.416643","5.8","2024",,,,,,,,,,,,,"8.73"," ,N,1010, ",,,,,"62.10"," ,N",,,,,,,,
"US1FLHB0055","TAMPA 5.0 NNE, FL US","28.0126","-82.4155","15.8","2024",,,,,,,,,,,,,"11.79"," ,N,1010, ",,,,,"68.74"," ,N",,,,,,,,
"US1FLIR0024","VERO BEACH 3.4 W, FL US","27.642899","-80.44938","5.8","2024",,,,,,,,,,,,,"7.42"," ,N,1010, ",,,,,"61.65"," ,N",,,,,,,,
"US1FLHB0178","RUSKIN 3.2 W, FL US","27.708233","-82.48065","1.5","2024",,,,,,,,,,,,,"10.85"," ,N,1010, ",,,,,"59.69"," ,N",,,,,,,,
"USW00012861","OCALA JIM TAYLOR FIELD, FL US","29.16667","-82.23333","26.5","2024","3336",,,,,,"29","W,1203, ",,,,,,,"98","W,0614,+",,,,,,,"72.3","W","83.0","W","61.6","W"
"USC00087304","PORT SALERNO 5 W, FL US","27.0997","-80.2627","3.7","2024","3976",,,,,,"45","7,0220,+",,,,,"5.46"," ,7,0613, ","97","7,0528,+","185","0","56.72"," ,7",,,"75.3","7","83.4","7","67.2","7"
"USC00088756","TALLAHASSEE AIRPORT, FL US","30.39638","-84.35581","16.8","2024",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","4.33"," ,7,0927, ","100","7,0903, ",,,"54.24"," ,7","0.0"," ,7",,,"81.5","7",,
"USC00083986","HILLSBOROUGH RVR ST PARK, FL US","28.1469","-82.2276","16.2","2024",,,,,,,,,,,,,"12.80"," ,7,1010, ",,,,,"62.25"," ,7",,,,,,,,
"USC00087429","QUINCY 3 SSW, FL US","30.54509","-84.59855","72.2","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPS0043","LAND O LAKES 1.5 SSE, FL US","28.202699","-82.440046","26.8","2024",,,,,,,,,,,,,"6.28"," ,N,1010, ",,,,,"58.68"," ,N",,,,,,,,
"US1FLHB0051","LUTZ 2.2 SSE, FL US","28.11046","-82.446","25.9","2024",,,,,,,,,,,,,"3.00"," ,N,0805, ",,,,,"49.57"," ,N",,,,,,,,
